sample,same_vector_count,exactly_same_vectors
435,False,False
436,False,False
437,False,False
438,True,True
439,True,False
440,False,False
441,False,False
442,True,True
443,False,False
444,False,False
445,False,False
446,True,False
447,True,True
448,True,False
449,True,False
450,False,False
451,False,False
452,False,False
453,False,False
454,True,True
455,False,False
456,False,False
457,True,False
458,False,False
459,True,False
460,True,True
461,True,False
462,True,False
463,True,False
464,False,False
465,True,True
466,False,False
467,False,False
468,True,True
469,False,False
470,False,False
471,True,False
472,False,False
473,True,False
474,False,False
475,True,True
476,True,False
477,False,False
478,False,False
479,False,False
480,False,False
481,False,False
482,True,True
483,False,False
484,True,True
485,False,False
486,False,False
487,False,False
488,True,False
489,False,False
490,False,False
491,True,False
492,False,False
493,True,True
494,True,True
495,False,False
496,False,False
497,False,False
498,False,False
499,True,False
500,True,False
501,False,False
502,False,False
503,False,False
504,False,False
505,False,False
506,True,False
507,True,False
508,False,False
509,True,False
510,False,False
511,False,False
512,True,False
513,False,False
514,False,False
515,False,False
516,False,False
517,True,True
518,True,True
519,False,False
520,True,False
521,True,False
522,False,False
523,False,False
524,True,True
525,False,False
526,False,False
527,False,False
528,False,False
529,False,False
530,False,False
531,False,False
532,False,False
533,True,False
534,True,False
535,False,False
536,False,False
537,True,False
538,True,False
539,True,False
540,True,True
541,True,True
542,True,True
543,True,True
544,False,False
545,False,False
546,True,True
547,False,False
548,False,False
549,True,False
550,True,False
551,False,False
552,True,True
553,True,True
554,True,False
555,True,False
556,True,False
557,False,False
558,False,False
559,True,True
560,True,False
561,False,False
562,True,True
563,True,False
564,False,False
565,True,False
566,True,True
567,False,False
568,False,False
569,True,True
570,True,False
571,True,False
572,True,True
573,True,False
574,True,False
575,True,False
576,False,False
577,False,False
578,True,True
579,False,False
580,True,True
581,True,True
582,True,True
583,False,False
584,True,False
585,True,False
586,True,False
587,True,True
588,True,False
589,False,False
590,True,True
591,False,False
592,False,False
593,True,False
594,False,False
595,False,False
596,True,False
597,False,False
598,False,False
599,False,False
