sample,same_vector_count,exactly_same_vectors
435,True,False
436,False,False
437,True,True
438,True,True
439,True,False
440,False,False
441,False,False
442,False,False
443,True,False
444,False,False
445,True,False
446,False,False
447,False,False
448,True,False
449,True,False
450,True,True
451,False,False
452,True,True
453,True,True
454,False,False
455,False,False
456,True,True
457,True,True
458,False,False
459,True,False
460,False,False
461,True,True
462,True,False
463,False,False
464,False,False
465,False,False
466,True,False
467,True,False
468,False,False
469,False,False
470,False,False
471,True,False
472,False,False
473,False,False
474,False,False
475,True,False
476,True,False
477,False,False
478,True,False
479,True,True
480,True,True
481,False,False
482,False,False
483,True,False
484,False,False
485,True,True
486,True,False
487,True,True
488,True,True
489,True,True
490,False,False
491,True,True
492,False,False
493,False,False
494,False,False
495,False,False
496,True,False
497,False,False
498,True,False
499,True,True
500,False,False
501,False,False
502,False,False
503,True,False
504,False,False
505,False,False
506,True,False
507,True,True
508,False,False
509,True,False
510,False,False
511,True,False
512,False,False
513,True,True
514,True,True
515,False,False
516,True,False
517,False,False
518,True,True
519,False,False
520,True,False
521,True,False
522,True,True
523,True,False
524,False,False
525,False,False
526,True,True
527,False,False
528,True,True
529,True,False
530,True,True
531,True,False
532,False,False
533,False,False
534,True,True
535,True,True
536,False,False
537,True,False
538,False,False
539,True,False
540,True,True
541,False,False
542,False,False
543,False,False
544,False,False
545,True,False
546,True,False
547,True,False
548,False,False
549,True,False
550,True,False
551,False,False
552,False,False
553,True,True
554,True,True
555,True,False
556,False,False
557,True,False
558,False,False
559,True,True
560,False,False
561,False,False
562,False,False
563,True,False
564,False,False
565,True,True
566,True,True
567,True,False
568,False,False
569,False,False
570,True,False
571,True,False
572,True,True
573,False,False
574,True,True
575,True,True
576,True,True
577,True,False
578,False,False
579,False,False
580,False,False
581,False,False
582,True,True
583,True,False
584,False,False
585,False,False
586,False,False
587,False,False
588,True,True
589,False,False
590,False,False
591,True,False
592,False,False
593,False,False
594,False,False
595,False,False
596,False,False
597,False,False
598,True,False
599,False,False
600,False,False
601,True,False
602,True,False
603,False,False
604,True,False
605,False,False
606,True,False
607,False,False
608,True,False
609,True,True
610,False,False
611,True,False
612,False,False
613,True,True
614,False,False
615,False,False
616,True,False
617,True,False
618,True,False
619,False,False
620,False,False
621,True,False
622,False,False
623,True,False
624,True,True
625,False,False
626,False,False
627,True,True
628,False,False
629,False,False
630,False,False
631,False,False
632,True,True
633,False,False
634,False,False
635,True,True
636,True,False
637,False,False
638,True,True
639,True,True
640,False,False
641,False,False
642,False,False
643,False,False
644,True,True
645,True,False
646,False,False
647,True,True
648,True,False
649,False,False
650,False,False
651,False,False
652,False,False
653,False,False
654,False,False
655,False,False
656,False,False
657,False,False
658,True,False
659,True,False
660,False,False
661,False,False
662,False,False
663,True,False
664,True,False
665,True,False
666,False,False
667,True,False
668,True,False
669,True,True
670,False,False
671,False,False
672,True,False
673,True,True
674,True,False
675,True,False
676,False,False
677,True,False
678,True,True
679,True,True
680,False,False
681,True,True
682,False,False
683,True,False
684,False,False
685,False,False
686,False,False
687,False,False
688,False,False
689,True,False
690,True,False
691,False,False
692,False,False
693,False,False
694,True,True
695,True,False
696,True,False
697,True,False
698,True,False
699,True,False
700,True,True
701,False,False
702,False,False
703,False,False
704,False,False
705,True,False
706,False,False
707,True,True
708,True,False
709,True,False
710,True,True
711,False,False
712,True,False
713,False,False
714,True,True
715,True,False
716,True,True
717,False,False
718,True,False
719,False,False
720,True,True
721,True,False
722,False,False
723,False,False
724,True,False
725,False,False
726,True,False
727,False,False
728,False,False
729,True,False
730,True,True
731,False,False
732,False,False
733,False,False
734,True,True
735,True,True
736,False,False
737,False,False
738,False,False
739,False,False
740,False,False
741,False,False
742,True,False
743,True,False
744,True,True
745,True,True
746,False,False
747,False,False
748,False,False
749,True,False
750,False,False
751,False,False
752,True,False
753,False,False
754,True,False
755,False,False
756,True,True
757,True,False
758,True,False
759,True,False
760,True,True
761,False,False
762,True,False
763,False,False
764,True,False
765,False,False
766,False,False
767,True,True
768,False,False
769,False,False
770,False,False
771,False,False
772,True,False
773,False,False
774,False,False
775,True,True
776,False,False
777,False,False
778,True,True
779,False,False
780,False,False
781,False,False
782,False,False
783,True,True
784,True,False
785,False,False
786,False,False
787,True,True
788,True,True
789,True,False
790,True,False
791,False,False
792,False,False
793,True,True
794,True,False
795,False,False
796,True,True
797,True,False
798,False,False
799,True,False
800,False,False
801,True,False
802,False,False
803,True,False
804,False,False
805,True,True
806,False,False
807,False,False
808,False,False
809,True,False
810,False,False
811,False,False
812,False,False
813,True,False
814,False,False
815,False,False
816,False,False
817,False,False
818,False,False
819,False,False
820,True,False
821,True,False
822,True,True
823,False,False
824,True,False
825,True,True
826,False,False
827,True,False
828,False,False
829,False,False
830,False,False
831,False,False
832,False,False
833,True,False
834,True,False
835,True,False
836,False,False
837,False,False
838,True,False
839,False,False
840,False,False
841,False,False
842,True,False
843,False,False
844,True,True
845,False,False
846,True,True
847,True,False
848,True,False
849,False,False
850,True,False
851,True,False
852,True,False
853,False,False
854,True,False
855,True,False
856,False,False
857,False,False
858,False,False
859,True,True
860,False,False
861,True,True
862,True,True
863,False,False
864,True,False
865,True,True
866,False,False
867,True,False
868,False,False
869,False,False
870,True,False
871,False,False
872,False,False
873,True,False
874,True,False
875,False,False
876,False,False
877,False,False
878,True,False
879,True,False
880,True,True
881,True,True
882,True,False
883,True,False
884,True,False
885,False,False
886,True,False
887,True,False
888,False,False
889,False,False
890,False,False
891,True,False
892,False,False
893,True,False
894,False,False
895,False,False
896,True,False
897,False,False
898,True,False
899,False,False
900,False,False
901,False,False
902,False,False
903,False,False
904,False,False
905,True,True
906,False,False
907,False,False
908,False,False
909,True,False
910,False,False
911,False,False
912,True,False
913,True,True
914,False,False
915,False,False
916,True,True
917,True,True
918,False,False
919,True,True
920,False,False
921,True,False
922,False,False
923,False,False
924,True,False
925,False,False
926,False,False
927,True,True
928,True,True
929,False,False
930,False,False
931,True,False
932,False,False
933,False,False
934,False,False
935,False,False
936,False,False
937,False,False
938,False,False
939,True,False
940,False,False
941,True,False
942,False,False
943,False,False
944,False,False
945,False,False
946,True,True
947,True,False
948,True,True
949,True,False
950,False,False
951,True,False
952,True,False
953,True,False
954,True,True
955,False,False
956,False,False
957,True,False
958,False,False
959,False,False
960,False,False
961,True,False
962,True,True
963,False,False
964,True,False
965,True,False
966,True,False
967,False,False
968,False,False
969,True,False
970,True,False
971,True,True
972,False,False
973,True,False
974,False,False
975,False,False
976,True,True
977,True,True
978,False,False
979,True,False
980,False,False
981,False,False
982,True,False
983,False,False
984,True,False
985,False,False
986,False,False
987,False,False
988,False,False
989,False,False
990,True,True
991,True,False
992,False,False
993,False,False
994,True,False
995,True,False
996,True,False
997,False,False
998,True,False
999,True,False
1000,True,True
1001,True,False
1002,False,False
1003,False,False
1004,True,False
1005,False,False
1006,False,False
1007,True,False
1008,True,False
1009,True,False
1010,True,False
1011,True,False
1012,False,False
1013,False,False
1014,True,False
1015,False,False
1016,False,False
1017,False,False
1018,True,False
1019,True,False
1020,False,False
1021,False,False
1022,True,False
1023,False,False
1024,False,False
1025,False,False
1026,False,False
1027,True,False
1028,False,False
1029,True,False
1030,False,False
1031,True,False
1032,False,False
1033,False,False
1034,False,False
1035,True,False
1036,False,False
1037,False,False
1038,True,False
1039,False,False
1040,False,False
1041,False,False
1042,True,False
1043,False,False
1044,True,False
1045,True,False
1046,False,False
1047,False,False
1048,False,False
1049,False,False
1050,False,False
1051,True,False
1052,False,False
1053,False,False
1054,False,False
1055,True,False
1056,True,False
1057,True,False
1058,True,True
1059,False,False
1060,False,False
1061,False,False
1062,False,False
1063,True,False
1064,True,False
1065,True,False
1066,False,False
1067,True,False
1068,False,False
1069,False,False
1070,False,False
1071,True,False
1072,True,True
1073,False,False
1074,True,False
1075,False,False
1076,False,False
1077,False,False
1078,True,False
1079,True,False
1080,False,False
1081,True,False
1082,True,False
1083,False,False
1084,True,False
1085,False,False
1086,True,False
1087,False,False
1088,False,False
1089,True,False
1090,False,False
1091,False,False
1092,True,False
1093,True,True
1094,False,False
1095,False,False
1096,True,True
1097,False,False
1098,True,False
1099,True,False
1100,True,False
1101,False,False
1102,False,False
1103,False,False
1104,True,False
1105,True,False
1106,False,False
1107,True,False
1108,False,False
1109,False,False
1110,False,False
1111,True,True
1112,True,True
1113,False,False
1114,True,False
1115,True,True
1116,True,False
1117,False,False
1118,True,True
1119,False,False
1120,True,False
1121,True,False
1122,False,False
1123,False,False
1124,False,False
1125,False,False
1126,True,False
1127,False,False
1128,True,False
1129,False,False
1130,True,False
1131,False,False
1132,False,False
1133,False,False
1134,True,False
1135,False,False
1136,True,False
1137,True,True
1138,False,False
1139,True,True
1140,True,True
1141,False,False
1142,True,True
1143,True,False
1144,False,False
1145,False,False
1146,False,False
1147,False,False
1148,False,False
1149,True,True
1150,False,False
1151,False,False
1152,False,False
1153,False,False
1154,True,False
1155,True,True
1156,False,False
1157,True,False
1158,False,False
1159,True,False
1160,True,False
1161,False,False
1162,True,False
1163,True,False
1164,True,False
1165,True,False
1166,False,False
1167,False,False
1168,True,False
1169,False,False
1170,False,False
1171,False,False
1172,False,False
1173,False,False
1174,False,False
1175,True,False
1176,False,False
1177,True,False
1178,False,False
1179,False,False
1180,True,True
1181,False,False
1182,False,False
1183,False,False
1184,False,False
1185,False,False
1186,False,False
1187,False,False
1188,False,False
1189,True,True
1190,False,False
1191,False,False
1192,False,False
1193,False,False
1194,True,True
1195,True,False
1196,False,False
1197,True,False
1198,True,True
1199,True,False
