method,method_display,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
baseline_on_shared_skeleton,Baseline on shared skeleton,7,20,33,13,0.5077102396344102,0.5218098909418712,0.8480340063761955,0.1707317073170732,0.6060606060606061,29,41,0.5630026809643928,0.48054919908411836,0.5185185180209999,0.3499999999997083,0.9523925781249418,420,326,454,15184,0.5630026809643928,0.48054919908411836,0.5185185180209999,0.9523925781249418,0.3499999999997083,1771,874,42,48,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,7,20,37,17,0.5994049489192178,0.6714090702362104,0.8809776833156217,0.2680851063829788,0.5405405405405406,29,47,0.7304785894197349,0.663615560639973,0.6954436445842491,0.5330882352936277,0.9689941406249408,580,214,294,15296,0.7304785894197349,0.663615560639973,0.6954436445842491,0.9689941406249408,0.5330882352936277,1771,874,52,58,611.0,28.0,6.0,121.0,108.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,7,20,11,9,0.2617927755455026,0.14843734771936765,0.5706695005313496,0.10344827586206896,0.55,29,8,0.14763779527529994,0.08581235697930685,0.10853834975198805,0.05738332058144041,0.9248046874999435,75,433,799,15077,0.14763779527529994,0.08581235697930685,0.10853834975198805,0.9248046874999435,0.05738332058144041,1771,874,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,7,20,15,5,0.2588166115734989,0.14177641892575443,0.47077577045696073,0.10344827586206896,0.75,29,9,0.09113924050609838,0.04118993135006729,0.05673758822363185,0.029197080291947123,0.9269409179686934,36,359,838,15151,0.09113924050609838,0.04118993135006729,0.05673758822363185,0.9269409179686934,0.029197080291947123,1771,874,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,8,15,29,14,0.6185648943936146,0.649756189861654,0.9690265486725663,0.32258064516129026,0.5172413793103448,19,31,0.6879606879598428,0.6738868832723539,0.6808510633290128,0.5161290322575888,0.9679565429686909,560,254,271,15299,0.6879606879598428,0.6738868832723539,0.6808510633290128,0.9679565429686909,0.5161290322575888,1794,831,40,47,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,8,15,34,19,0.5858617727807854,0.6410193944263853,0.9601769911504425,0.24499999999999997,0.4411764705882353,19,40,0.6621454993826608,0.6462093862808108,0.6540803892678524,0.48597285067829327,0.965332031249941,537,274,294,15279,0.6621454993826608,0.6462093862808108,0.6540803892678524,0.965332031249941,0.48597285067829327,1794,831,41,48,670.0,20.0,5.0,72.0,64.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,8,15,15,0,0.3190399693724082,0.18416272239565318,0.6150442477876106,0.05263157894736842,1.0,19,13,0.07572815533965878,0.04693140794218179,0.057949479468036934,0.029839326702349015,0.9226074218749437,39,476,792,15077,0.07572815533965878,0.04693140794218179,0.057949479468036934,0.9226074218749437,0.029839326702349015,1794,831,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,8,15,18,3,0.340628396636369,0.16504942391100513,0.8230088495575221,0.07368421052631578,0.8333333333333334,19,19,0.07066052227331696,0.055354993983086215,0.06207827211188058,0.032033426183821705,0.9151611328124442,46,605,785,14948,0.07066052227331696,0.055354993983086215,0.06207827211188058,0.9151611328124442,0.032033426183821705,1794,831,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,9,3,2,1,0.7753333333333333,0.7814814814814814,0.5349999999999999,1.0,0.6666666666666667,0,0,0.9999999999895833,0.45283018867710934,0.623376622943498,0.45283018867710934,0.9929199218749394,96,0,116,16172,0.9999999999895833,0.45283018867710934,0.623376622943498,0.9929199218749394,0.45283018867710934,562,212,5,2,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,9,3,2,1,0.7753333333333333,0.7814814814814814,0.5349999999999999,1.0,0.6666666666666667,0,0,0.9999999999895833,0.45283018867710934,0.623376622943498,0.45283018867710934,0.9929199218749394,96,0,116,16172,0.9999999999895833,0.45283018867710934,0.623376622943498,0.9929199218749394,0.45283018867710934,562,212,5,2,92.0,6.0,0.0,76.0,38.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,9,3,7,4,0.2535071428571429,0.06366666666666668,0.91,0.0,0.4285714285714286,0,4,0.039999999999771434,0.03301886792437255,0.03617571009869867,0.01842105263153047,0.9772338867186904,7,168,205,16004,0.039999999999771434,0.03301886792437255,0.03617571009869867,0.9772338867186904,0.01842105263153047,562,212,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,9,3,7,4,0.26995714285714284,0.078,0.96,0.0,0.4285714285714286,0,1,0.005681818181785899,0.004716981132053222,0.005154638679535598,0.002583979328158698,0.9764404296874404,1,175,211,15997,0.005681818181785899,0.004716981132053222,0.005154638679535598,0.9764404296874404,0.002583979328158698,562,212,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,10,13,14,1,0.5946351477519493,0.6045484935535722,0.9403225806451613,0.16666666666666666,0.9285714285714286,8,12,0.7751371115159504,0.7639639639625875,0.7695099813498094,0.6253687315624995,0.9844970703124399,424,123,131,15706,0.7751371115159504,0.7639639639625875,0.7695099813498094,0.9844970703124399,0.6253687315624995,1216,555,25,20,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,10,13,15,2,0.5978720011207653,0.6055459045216528,0.9435483870967742,0.19999999999999998,0.8666666666666667,8,16,0.8339416058378942,0.8234234234219397,0.8286491382111194,0.7074303405561805,0.9884643554686896,457,91,98,15738,0.8339416058378942,0.8234234234219397,0.8286491382111194,0.9884643554686896,0.7074303405561805,1216,555,25,20,468.0,21.0,7.0,31.0,28.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,10,13,13,0,0.29692516064813146,0.17524587670910924,0.5903225806451613,0.0,1.0,8,4,0.07183908045956368,0.045045045044963886,0.055370985129695655,0.02847380410019536,0.9479370117186922,25,323,530,15506,0.07183908045956368,0.045045045044963886,0.055370985129695655,0.9479370117186922,0.02847380410019536,1216,555,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,10,13,15,2,0.38367738724528094,0.2510632500313291,0.7951612903225806,0.1,0.8666666666666667,8,5,0.029473684210464268,0.025225225225179775,0.02718446552238101,0.013779527559041556,0.9388427734374427,14,461,541,15368,0.029473684210464268,0.025225225225179775,0.02718446552238101,0.9388427734374427,0.013779527559041556,1216,555,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,11,13,20,7,0.5760271512113619,0.5586549707602341,0.9195906432748538,0.3028571428571428,0.65,16,35,0.5767918088727358,0.539074960126732,0.5572959599283416,0.3862857142852728,0.9672241210936909,338,248,289,15509,0.5767918088727358,0.539074960126732,0.5572959599283416,0.9672241210936909,0.3862857142852728,1362,627,28,30,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,11,13,22,9,0.6304308213716109,0.6766861598440547,0.9122807017543859,0.33749999999999997,0.5909090909090908,16,32,0.6329331046301322,0.5885167464105446,0.6099173548715539,0.4387633769317018,0.9711914062499407,369,214,258,15543,0.6329331046301322,0.5885167464105446,0.6099173548715539,0.9711914062499407,0.4387633769317018,1362,627,31,34,461.0,20.0,5.0,92.0,49.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,11,13,14,1,0.33968011746846793,0.15696690914277564,0.7090643274853801,0.1375,0.9285714285714286,16,11,0.09374999999977464,0.06220095693769984,0.07478427564687747,0.03884462151390553,0.9411010742186925,39,377,588,15380,0.09374999999977464,0.06220095693769984,0.07478427564687747,0.9411010742186925,0.03884462151390553,1362,627,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,11,13,13,0,0.3007886097820308,0.13767676767676768,0.5847953216374269,0.0875,1.0,16,8,0.14477211796207837,0.08612440191373824,0.107999999532042,0.0570824524312293,0.9455566406249423,54,319,573,15438,0.14477211796207837,0.08612440191373824,0.107999999532042,0.9455566406249423,0.0570824524312293,1362,627,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,12,15,21,6,0.6782109432137148,0.7206962923054786,0.8860294117647058,0.42105263157894735,0.7142857142857143,15,19,0.8114035087707435,0.7429718875492062,0.7756813412189626,0.6335616438348932,0.9804077148436902,555,129,192,15508,0.8114035087707435,0.7429718875492062,0.7756813412189626,0.9804077148436902,0.6335616438348932,1454,747,38,39,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,12,15,21,6,0.6869528377785583,0.749095319557705,0.829656862745098,0.44999999999999996,0.7142857142857143,15,16,0.8090062111788681,0.6974564926362818,0.7491013654254601,0.5988505747119554,0.9786987304686903,521,123,226,15514,0.8090062111788681,0.6974564926362818,0.7491013654254601,0.9786987304686903,0.5988505747119554,1454,747,36,37,540.0,24.0,7.0,110.0,66.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,12,15,18,3,0.41687877878612933,0.2951336696336643,0.7536764705882353,0.19999999999999998,0.8333333333333334,15,20,0.04347826086948645,0.03212851405618189,0.03695150066594485,0.018823529411749942,0.9236450195311936,24,528,723,15109,0.04347826086948645,0.03212851405618189,0.03695150066594485,0.9236450195311936,0.018823529411749942,1454,747,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,12,15,16,1,0.3664667440568266,0.177496904004277,0.6642156862745099,0.23999999999999996,0.9375,15,12,0.05555555555544125,0.036144578313204626,0.04379561996028914,0.022388059701473974,0.9280395507811934,27,459,720,15178,0.05555555555544125,0.036144578313204626,0.04379561996028914,0.9280395507811934,0.022388059701473974,1454,747,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,13,16,27,11,0.572885721472539,0.605108952411025,0.8816371681415929,0.2599999999999999,0.5925925925925926,22,40,0.7179487179477491,0.6846846846838035,0.7009222656390152,0.5395537525349497,0.9722900390624406,532,209,245,15398,0.7179487179477491,0.6846846846838035,0.7009222656390152,0.9722900390624406,0.5395537525349497,2065,777,41,47,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,13,16,29,13,0.564094956682313,0.5991929524522117,0.875,0.2571428571428571,0.5517241379310345,22,35,0.7673469387744662,0.7258687258677917,0.746031745531145,0.594936708860132,0.9765624999999404,564,171,213,15436,0.7673469387744662,0.7258687258677917,0.746031745531145,0.9765624999999404,0.594936708860132,2065,777,40,46,578.0,19.0,13.0,107.0,60.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,13,16,14,2,0.3378246705443965,0.2393019853163222,0.5995575221238938,0.0909090909090909,0.875,22,9,0.07003891050570031,0.046332046331986704,0.05577071989246893,0.02868525896412057,0.9255981445311935,36,478,741,15129,0.07003891050570031,0.046332046331986704,0.05577071989246893,0.9255981445311935,0.02868525896412057,2065,777,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,13,16,15,1,0.3480420470528066,0.17620454900623678,0.625,0.20000000000000007,0.9375,22,14,0.10546874999979401,0.06949806949798006,0.08378588004854348,0.0437246963562399,0.9279174804686934,54,458,723,15149,0.10546874999979401,0.06949806949798006,0.08378588004854348,0.9279174804686934,0.0437246963562399,2065,777,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,14,10,10,0,0.8744232016856086,0.9200435178569855,0.9686847599164927,0.6666666666666666,1.0,6,4,0.9444444444423457,0.9340659340638812,0.9392265188349562,0.8854166666648221,0.9966430664061892,425,25,30,15904,0.9444444444423457,0.9340659340638812,0.9392265188349562,0.9966430664061892,0.8854166666648221,958,455,21,16,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,14,10,13,3,0.7464455051380252,0.8360066950357697,0.9665970772442589,0.4,0.7692307692307692,6,8,0.896017699113062,0.8901098901079338,0.8930540237538246,0.8067729083649268,0.9940795898436893,405,47,50,15882,0.896017699113062,0.8901098901079338,0.8930540237538246,0.9940795898436893,0.8067729083649268,958,455,22,17,411.0,18.0,1.0,9.0,16.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,14,10,13,3,0.28530838256043234,0.12635263929618765,0.6638830897703549,0.075,0.7692307692307692,6,8,0.013559322033852341,0.00879120879118947,0.0106666661893938,0.0053619302948989785,0.9547119140624417,4,291,451,15638,0.013559322033852341,0.00879120879118947,0.0106666661893938,0.9547119140624417,0.0053619302948989785,958,455,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,14,10,11,1,0.3358881844277851,0.11046927609427608,0.6430062630480167,0.26666666666666666,0.9090909090909091,6,5,0.03169014084495884,0.019780219780176307,0.02435723903956084,0.012328767123270783,0.9559936523436916,9,275,446,15654,0.03169014084495884,0.019780219780176307,0.02435723903956084,0.9559936523436916,0.012328767123270783,958,455,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,15,9,9,0,0.972734873465868,0.9455714459857572,0.9861386138613861,1.0,1.0,6,6,0.9786324786303876,0.9786324786303876,0.9786324781303876,0.9581589958138951,0.998779296874939,458,10,10,15906,0.9786324786303876,0.9786324786303876,0.9786324781303876,0.998779296874939,0.9581589958138951,1135,468,24,22,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,15,9,11,2,0.844338773681471,0.9255133064508736,0.9801980198019802,0.6,0.8181818181818181,6,6,0.916666666664708,0.916666666664708,0.9166666661647079,0.8461538461521773,0.9952392578124393,429,39,39,15877,0.916666666664708,0.916666666664708,0.9166666661647079,0.9952392578124393,0.8461538461521773,1135,468,25,23,399.0,17.0,3.0,27.0,22.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,15,9,15,6,0.3738300581605165,0.23092598183085064,0.7683168316831683,0.225,0.6,6,8,0.05722070844671057,0.04487179487169899,0.05029940070479975,0.025798525798494107,0.9515991210936919,21,346,447,15570,0.05722070844671057,0.04487179487169899,0.05029940070479975,0.9515991210936919,0.025798525798494107,1135,468,0,0,,,,,,False
cnn_direct_vector_regression_on_shared_skeleton,CNN direct vector regression,15,9,15,6,0.36762685807843754,0.17848340290200754,0.9600760456273765,0.1411764705882353,0.6,6,17,0.04968944099368595,0.05128205128194171,0.05047318561989207,0.025889967637512525,0.9448852539061923,24,459,444,15457,0.04968944099368595,0.05128205128194171,0.05047318561989207,0.9448852539061923,0.025889967637512525,1135,468,0,0,,,,,,False
baseline_on_shared_skeleton,Baseline on shared skeleton,16,3,3,0,0.9437354640664499,0.9063067292644756,0.9294871794871795,1.0,1.0,0,0,0.9999999999931508,0.9012345678956715,0.9480519475471412,0.9012345678956715,0.999023437499939,146,0,16,16222,0.9999999999931508,0.9012345678956715,0.9480519475471412,0.999023437499939,0.9012345678956715,346,162,6,3,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,Skeleton graph junction fix,16,3,2,1,0.8585816179126038,0.819640062597809,0.8653846153846154,1.0,0.6666666666666667,0,0,0.9999999999927008,0.8456790123404588,0.9163879593635866,0.8456790123404588,0.998474121093689,137,0,25,16222,0.9999999999927008,0.8456790123404588,0.9163879593635866,0.998474121093689,0.8456790123404588,346,162,5,2,133.0,6.0,0.0,14.0,9.0,False
mlp_direct_vector_regression_on_shared_skeleton,MLP direct vector regression,16,3,8,5,0.46759615384615383,0.05833333333333333,0.7692307692307692,1.0,0.375,0,0,0.06034482758568668,0.04320987654294315,0.050359711743543305,0.025830258302487714,0.9838867187499399,7,109,155,16113,0.06034482758568668,0.04320987654294315,0.050359711743543305,0.9838867187499399,0.025830258302487714,346,162,0,0,,,,,,False
