method,sample,true_vectors,pred_vectors,vector_count_error,engineering_score,line_geometry_score,total_length_score,junction_angle_score,vector_count_score,true_junctions,pred_junctions,pixel_precision_on_skeleton,pixel_recall_on_skeleton,pixel_f1_on_skeleton,pixel_iou_on_skeleton,pixel_accuracy_on_skeleton,tp,fp,fn,tn,precision_from_matrix,recall_from_matrix,f1_from_matrix,accuracy_from_matrix,iou_from_matrix,raw_stroke_pixels,skeleton_stroke_pixels,graph_node_clusters,traced_paths,classified_line_pixels,classified_endpoint_pixels,classified_corner_pixels,classified_t_junction_pixels,classified_x_junction_pixels,internal_skeletonization_applied
baseline_on_shared_skeleton,21,15,17,2,0.5258683935577447,0.578018235834957,0.887624466571835,0.0,0.8823529411764706,5,9,0.6521739130423877,0.5981595092015366,0.6239999994999348,0.45348837209249593,0.9713134765624407,15524,262,208,390,0.983403015329977,0.9867785405542215,0.9850878857871399,0.9713134765624407,0.9706139802425302,1742,652,29,22,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,21,15,17,2,0.6243875501766566,0.7333246664507852,0.8918918918918919,0.1111111111111111,0.8823529411764706,5,9,0.8019801980184786,0.7453987730049917,0.7726550074485657,0.6295336787556612,0.98254394531244,15612,166,120,486,0.9894790214221707,0.9923722349351008,0.9909235158439558,0.98254394531244,0.9820103157629273,1742,652,30,23,591.0,24.0,1.0,18.0,18.0,False
baseline_on_shared_skeleton,22,18,28,10,0.6538852190823521,0.7515034823111131,0.9330406147091108,0.25925925925925924,0.6428571428571428,15,27,0.8041871921172362,0.7755344418043046,0.7896009668510839,0.6523476523470007,0.9787597656249403,15383,189,159,653,0.9878628307217449,0.9897696564148121,0.9888153237912526,0.9787597656249403,0.9778780751381998,2158,842,50,49,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,22,18,36,18,0.6480971475174409,0.7822879224803538,0.9330406147091108,0.2378378378378378,0.5,15,37,0.792383292382319,0.7660332541558599,0.778985506745579,0.6379821958450663,0.9776611328124403,15373,197,169,645,0.987347463069943,0.9891262385792697,0.9882360498984969,0.9776611328124403,0.9767456636380344,2158,842,53,52,651.0,30.0,13.0,104.0,44.0,False
baseline_on_shared_skeleton,23,17,22,5,0.6241846185488721,0.7076437090087168,0.8298611111111112,0.25000000000000006,0.7727272727272727,13,20,0.6705882352931315,0.6104417670674559,0.6391030128148525,0.46961894953607664,0.9685668945311908,15413,291,224,456,0.9814696892510837,0.9856750015987091,0.9835678499195177,0.9685668945311908,0.9676670015067197,1819,747,35,32,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,23,17,22,5,0.7025491652222422,0.7591217456174721,0.8414351851851851,0.46153846153846156,0.7727272727272727,13,13,0.7136627906966372,0.6572958500660545,0.6843205569911807,0.5201271186435168,0.9723510742186906,15440,256,197,491,0.9836901121304163,0.9874016755131427,0.9855423988871663,0.9723510742186906,0.9714968854211935,1819,747,39,36,567.0,25.0,8.0,101.0,46.0,False
baseline_on_shared_skeleton,24,15,20,5,0.5364089401230956,0.46978992813273346,0.8382526564344746,0.32941176470588235,0.75,13,17,0.4226804123705115,0.367477592829235,0.39315068443340867,0.24467178175597215,0.9459228515624423,15211,494,392,287,0.9685450493472799,0.9748766262897536,0.9717005233277188,0.9459228515624423,0.9449586879542184,2042,781,36,37,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,24,15,24,9,0.6352676604760763,0.7003292790752536,0.9362455726092089,0.28148148148148144,0.625,13,27,0.7944664031610086,0.7720870678607271,0.7831168826159681,0.6435432230516077,0.9796142578124402,15447,178,156,603,0.9886079999999366,0.9900019227071082,0.9893044698470612,0.9796142578124402,0.9788353082820493,2042,781,41,42,576.0,24.0,12.0,109.0,60.0,False
baseline_on_shared_skeleton,25,20,29,9,0.6497434778707096,0.698204020579045,0.8981481481481481,0.3478260869565217,0.6896551724137931,21,23,0.7768395657409206,0.6962162162154636,0.7343215502418236,0.5801801801796574,0.9715576171874407,15274,281,185,644,0.9819350691095479,0.9880328611164377,0.9849745271326231,0.9715576171874407,0.9703939008893919,2142,925,45,45,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,25,20,31,11,0.6483477365116643,0.6954831332189823,0.904320987654321,0.36,0.6451612903225806,21,25,0.803084223012096,0.7318918918911007,0.7658371035726075,0.6205316223642342,0.9747314453124405,15293,248,166,677,0.9840422109258745,0.9892619186233915,0.9866451607902623,0.9747314453124405,0.9736423250779287,2142,925,47,47,714.0,30.0,11.0,90.0,80.0,False
baseline_on_shared_skeleton,26,4,4,0,0.9840927676124965,0.9715234469281138,0.9845360824742269,1.0,1.0,1,1,0.9999999999946525,0.9999999999946525,0.9999999994946525,0.9999999999946525,0.9999999999999389,16197,0,0,187,0.9999999999999383,0.9999999999999383,0.9999999994999382,0.9999999999999389,0.9999999999999383,506,187,9,6,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,26,4,4,0,0.9840927676124965,0.9715234469281138,0.9845360824742269,1.0,1.0,1,1,0.9999999999946525,0.9999999999946525,0.9999999994946525,0.9999999999946525,0.9999999999999389,16197,0,0,187,0.9999999999999383,0.9999999999999383,0.9999999994999382,0.9999999999999389,0.9999999999999383,506,187,9,6,174.0,8.0,0.0,0.0,5.0,False
baseline_on_shared_skeleton,27,12,20,8,0.5816144152508342,0.6856922261727839,0.9623233908948194,0.08235294117647059,0.6,5,17,0.7512953367862673,0.7178217821770333,0.7341772146888939,0.5799999999992267,0.9807739257811902,15634,171,144,435,0.9891806390382164,0.9908733679806698,0.9900262794606759,0.9807739257811902,0.9802495454259841,1410,606,29,25,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,27,12,20,8,0.5733552747245974,0.6968991227245082,0.9105180533751962,0.07058823529411765,0.6,5,17,0.7876106194676326,0.7343234323420226,0.7600341583379142,0.6129476584013596,0.9828491210936899,15658,161,120,445,0.9898223655097673,0.9923944733172143,0.9911067501408216,0.9828491210936899,0.9823702867180512,1410,606,29,25,540.0,20.0,1.0,24.0,21.0,False
baseline_on_shared_skeleton,28,14,25,11,0.5734861897221124,0.6607549948770493,0.9155470249520153,0.14814814814814814,0.56,10,27,0.7858719646781769,0.7772925764175168,0.7815587261722838,0.6414414414402857,0.9878540039061897,15829,102,97,356,0.9935973887388743,0.9939093306542136,0.9937533347166873,0.9878540039061897,0.9875842276016353,1124,458,35,31,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,28,14,23,9,0.561356925044313,0.6339420942360234,0.9213051823416507,0.12380952380952381,0.6086956521739131,10,21,0.783664459159418,0.7751091703039845,0.7793633364906201,0.6384892086319451,0.9877319335936897,15828,103,98,355,0.9935346180402364,0.9938465402485875,0.993690554166102,0.9877319335936897,0.9874602283360792,1124,458,35,31,373.0,23.0,4.0,37.0,21.0,False
baseline_on_shared_skeleton,29,20,22,2,0.5891854287937514,0.5714029056954263,0.816836262719704,0.3111111111111111,0.9090909090909091,14,18,0.6370023419196288,0.6057906458790582,0.621004565709652,0.4503311258274418,0.9594726562499414,15176,354,310,544,0.9772054088859641,0.9799819191527198,0.9785916941091717,0.9594726562499414,0.9580808080807476,2144,898,43,40,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,29,20,27,7,0.5997578134395534,0.6106693848372559,0.8344125809435707,0.336,0.7407407407407407,14,25,0.7682648401817714,0.7494432071261142,0.7587373162974176,0.6112624886461296,0.9738769531249405,15283,225,203,673,0.9854913592983631,0.9868913857677265,0.9861908751532888,0.9738769531249405,0.9727579402965455,2144,898,46,44,756.0,30.0,6.0,55.0,51.0,False
baseline_on_shared_skeleton,30,3,3,0,0.9914660973084886,0.9837962962962963,0.9937888198757764,1.0,1.0,1,1,0.9999999999938273,0.9999999999938273,0.9999999994938273,0.9999999999938273,0.9999999999999389,16222,0,0,162,0.9999999999999384,0.9999999999999384,0.9999999994999385,0.9999999999999389,0.9999999999999384,265,162,7,5,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,30,3,3,0,0.9914660973084886,0.9837962962962963,0.9937888198757764,1.0,1.0,1,1,0.9999999999938273,0.9999999999938273,0.9999999994938273,0.9999999999938273,0.9999999999999389,16222,0,0,162,0.9999999999999384,0.9999999999999384,0.9999999994999385,0.9999999999999389,0.9999999999999384,265,162,7,5,151.0,6.0,0.0,0.0,5.0,False
baseline_on_shared_skeleton,31,9,9,0,0.9514441325848704,0.9050610353737859,0.9708333333333333,1.0,1.0,0,0,0.9999999999955556,0.9999999999955556,0.9999999994955555,0.9999999999955556,0.9999999999999389,16159,0,0,225,0.999999999999938,0.999999999999938,0.999999999499938,0.9999999999999389,0.999999999999938,434,225,18,9,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,31,9,9,0,0.9514441325848704,0.9050610353737859,0.9708333333333333,1.0,1.0,0,0,0.9999999999955556,0.9999999999955556,0.9999999994955555,0.9999999999955556,0.9999999999999389,16159,0,0,225,0.999999999999938,0.999999999999938,0.999999999499938,0.9999999999999389,0.999999999999938,434,225,18,9,207.0,18.0,0.0,0.0,0.0,False
baseline_on_shared_skeleton,32,11,19,8,0.5346578015138493,0.5738742927880859,0.9186851211072664,0.1391304347826087,0.5789473684210527,11,23,0.5345167652849417,0.4762741652012719,0.5037174716196827,0.3366459627325011,0.9674072265624409,15579,298,236,271,0.9812307110914542,0.9850774581093275,0.9831503213477247,0.9674072265624409,0.9668590579034961,1166,569,27,28,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,32,11,17,6,0.7120456640802489,0.7358800224466892,0.9809688581314879,0.4799999999999999,0.6470588235294117,11,15,0.6836158192077522,0.6379613356755045,0.6599999994993967,0.4925373134321675,0.9771728515624404,15647,206,168,363,0.9870056140792918,0.9893771735693335,0.9881899704485299,0.9771728515624404,0.9766556394731305,1166,569,29,30,438.0,18.0,3.0,54.0,56.0,False
baseline_on_shared_skeleton,33,19,27,8,0.6215342442686679,0.7085295388954413,0.9116279069767442,0.20000000000000004,0.7037037037037037,18,12,0.7367706919935729,0.7182539682530182,0.7273945072017188,0.5715789473678194,0.9751586914061905,15434,213,194,543,0.9863871668689853,0.9875863834143213,0.98698641037124,0.9751586914061905,0.9743071775771116,1899,756,45,45,,,,,,
skeleton_graph_junction_fix_on_shared_skeleton,33,19,31,12,0.6555088797328128,0.7702272846275561,0.9255813953488372,0.25,0.6129032258064516,18,20,0.7654155495968292,0.7552910052900063,0.7603195734004744,0.6133190118145937,0.9780273437499403,15453,185,175,571,0.988169842690818,0.9888021499871391,0.9884858947215832,0.9780273437499403,0.9772339214569672,1899,756,46,46,625.0,25.0,8.0,70.0,28.0,False
baseline_on_shared_skeleton,34,18,28,10,0.6164008210274455,0.6575521285829531,0.9060832443970117,0.3,0.6428571428571428,21,26,0.6984536082465226,0.6617826617818537,0.6796238239509218,0.5147198480526926,0.9688110351561908,15331,277,234,542,0.9822526909276664,0.9849662704785747,0.9836076086488806,0.9688110351561908,0.9677439717206812,1955,819,49,51,,,,,,
